run,time
0,61279941
1,84033562
2,17008888
3,16973530
4,21868563
5,8661967
6,8115045
7,8347966
8,14035020
9,12057053
10,5828409
11,8893137
12,21348441
13,10304663
14,9141195
15,8201175
16,9266453
17,9258781
18,8620314
19,8866429
20,18304489
21,8929796
22,8897375
23,8913939
24,9119607
25,8605538
26,6140056
27,9332214
28,6615195
29,6839196
30,6271790
31,5293848
32,7723729
33,5064705
34,6936266
35,5168743
36,5362663
37,8154732
38,10876137
39,7996074
40,8891660
41,7980611
42,7957807
43,8286078
44,8545213
45,7142161
46,7090220
47,6228415
48,7636318
49,7926220
50,6394007
51,7607088
52,11872827
53,9725529
54,8988910
55,9604060
56,9306690
57,10036875
58,9517865
59,8157517
60,8867786
61,6396553
62,8144838
63,6791524
64,5662994
65,6701267
66,6461512
67,5098257
68,5137527
69,5130253
70,5833975
71,7563887
72,8907239
73,8769696
74,6036544
75,6550974
76,5416516
77,8884988
78,6689650
79,5566071
80,5196394
81,5915726
82,5403255
83,5582041
84,5145146
85,6302155
86,6885913
87,5278191
88,5678589
89,6175602
90,5614446
91,5030258
92,4991619
93,4992790
94,5093891
95,5169294
96,6078158
97,6082733
98,5275920
99,4984039
100,5167794
101,5668497
102,5097485
103,5059963
104,5262671
105,6354504
106,6600808
107,5380905
108,5723182
109,6264910
110,6472966
111,8937009
112,9903245
113,9458943
114,6804488
115,10002245
116,6408454
117,5259287
118,4974923
119,6351994
120,5085546
121,5383898
122,4953994
123,6075357
124,7957557
125,5166882
126,5128412
127,4957679
128,4858444
129,4916113
130,5047793
131,5026157
132,4946575
133,6334739
134,9483084
135,9501231
136,9016979
137,7094922
138,5272975
139,4862945
140,4860699
141,6048848
142,5136977
143,7823189
144,5798243
145,6248341
146,9097104
147,9658968
148,5810977
149,5031577
150,5761517
151,5283910
152,5944433
153,5095515
154,5334566
155,5163258
156,4928963
157,5009265
158,5062364
159,5056104
160,4917462
161,4835269
162,6032698
163,5104850
164,5413646
165,5363245
166,6504700
167,8530440
168,5103755
169,5477565
170,7201506
171,6339060
172,5655304
173,5652175
174,5969843
175,8225243
176,6371735
177,5666272
178,7766073
179,5946639
180,5837972
181,6876473
182,5146450
183,5407416
184,5149045
185,6763359
186,4860196
187,5267630
188,6002519
189,5079468
190,5261746
191,4979634
192,6404402
193,5111606
194,5193441
195,5413599
196,5084180
197,4996686
198,5081333
199,5067846
200,5203774
201,6653632
202,4955436
203,5062474
204,4985882
205,4959850
206,5067431
207,5061706
208,5192123
209,5133304
210,5079758
211,5178615
212,4985587
213,5223784
214,5722885
215,5185885
216,4804727
217,6001118
218,5011506
219,5033541
220,4725747
221,5026318
222,4780120
223,4672978
224,4814122
225,4758640
226,4703738
227,4485394
228,4779368
229,4820750
230,5423203
231,4817796
232,4863604
233,4951527
234,5040307
235,5153063
236,5327415
237,5082821
238,5040412
239,5009325
240,5497084
241,5209431
242,6106655
243,5105955
244,5056885
245,4970029
246,5044257
247,4963983
248,4953867
249,4937914
250,5384968
251,4871686
252,5102261
253,5001627
254,5236756
255,4900788
256,4754852
257,4756631
