n,time
10,11500
10,9600
10,7900
10,7800
10,7500
10,7600
10,7500
10,7500
10,7800
10,7600
10,7500
10,7400
10,7600
10,7500
10,7500
10,7400
10,7500
10,7500
10,7500
10,7400
10,7400
10,7500
10,7400
10,7500
10,7500
10,7400
10,7500
10,7500
10,7500
10,7500
10,7500
10,7500
10,7500
10,7600
10,7500
10,7500
10,7400
10,7900
10,7800
10,7500
10,7700
10,7600
10,7600
10,7600
10,7700
10,12300
10,12700
10,12700
10,12700
10,13700
10,13000
10,12700
10,12900
10,12800
10,12600
10,12700
10,12700
10,12700
10,12700
10,12700
10,12700
10,12700
10,12700
10,12600
10,12700
10,12700
10,12600
10,12700
10,12700
10,12700
10,12600
10,12700
10,12800
10,12700
10,12700
10,12800
10,12600
10,12800
10,12700
10,12800
10,12700
10,12700
10,12700
10,12800
10,12700
10,12700
10,12800
10,12700
10,12700
10,12800
10,12700
10,12600
10,12800
10,12700
10,12700
10,12700
10,12700
10,12700
10,12800
10,12700
10,12700
10,12700
10,12600
10,12700
10,12700
10,12600
10,12700
10,12700
10,12700
10,12700
10,12600
10,12700
10,12700
10,12700
10,12600
10,12700
10,12600
10,12800
10,12700
10,12700
10,12700
10,12700
10,12800
10,12700
10,11700
10,8400
10,19000
10,7600
10,7500
10,7600
10,7700
10,7600
10,7600
10,7700
10,7700
10,7600
10,7700
10,7600
10,7700
10,7600
10,7700
10,7700
10,7600
10,7600
10,7700
10,7600
10,7500
10,7600
10,7600
10,7700
10,7600
10,7700
10,7600
10,7600
10,7600
10,7700
10,46300
10,7700
10,7700
10,7600
10,7600
10,7600
10,7600
10,7600
10,7600
10,7600
10,7600
10,7500
10,7600
10,7600
10,7600
10,7600
10,7700
10,7700
10,7600
10,7600
10,7700
10,7700
10,7600
10,7700
10,7700
10,7700
10,7600
10,7600
10,7600
10,7500
10,7700
10,7600
10,7600
10,7500
10,7600
10,7700
10,7600
10,7600
10,7700
10,7600
10,7700
10,7600
10,7600
10,7600
10,7600
10,7600
10,7600
10,7700
10,7600
10,7600
10,7600
10,7600
10,7700
10,7600
10,7600
10,7600
10,7700
10,7600
10,7500
10,7600
10,7600
10,7600
10,7700
10,7600
10,7600
10,7600
10,7600
10,7600
10,7600
10,7600
10,7500
10,7500
10,7600
10,7600
10,7600
10,7600
10,7500
10,7600
10,7600
10,7600
10,7600
10,7600
10,7600
10,7600
10,7700
10,7700
10,7600
10,7600
10,7600
10,7600
10,7600
10,7600
10,7700
10,7700
10,7600
10,7600
10,7500
10,7600
10,7700
10,7600
10,7700
10,7700
10,7600
10,7600
10,7700
10,7700
10,7700
10,7600
10,7500
10,7600
10,7600
10,7600
10,7600
10,7700
10,7600
10,7700
10,7700
10,7500
10,7600
10,7600
10,7600
10,7600
10,7600
10,7500
10,7600
10,7600
10,7600
10,7600
10,7600
10,7600
10,7600
10,7500
10,7500
10,7600
10,7600
10,7600
10,7600
10,7600
10,7500
10,7600
10,7700
10,7600
10,7500
10,7600
10,7500
10,7500
10,7500
10,7600
10,7600
10,7600
10,7600
10,7600
10,7600
10,7500
10,7600
10,7600
10,7600
10,7600
10,7500
10,7500
10,7600
10,7600
10,7500
10,7500
10,7600
10,7600
10,7600
10,7600
10,7500
10,7600
10,7600
10,7600
10,7600
10,7600
10,7600
10,7600
10,7700
10,7500
10,7600
10,7600
10,7500
10,7600
10,7600
10,7600
10,7700
10,7600
10,7600
10,7500
10,7600
10,7500
10,7600
10,7600
10,7600
10,7500
10,7600
10,7600
10,7600
10,12300
10,7500
10,7600
10,7700
10,7600
10,7500
10,7600
10,7600
10,7500
10,7700
10,7600
10,7700
10,7600
10,7600
10,7600
10,7600
10,7600
10,7600
10,7600
10,7600
10,7600
10,7600
10,7600
10,7600
10,7600
10,7600
10,7700
10,7600
10,7600
10,7600
10,7600
10,7600
10,7700
10,7600
10,7600
10,7600
10,7600
10,7600
10,7600
10,7600
10,7500
10,7500
10,7600
10,7600
10,7700
10,7600
10,7700
10,7600
10,7600
10,7700
10,7600
10,7500
10,7600
10,7600
10,7700
10,7500
10,7600
10,7600
10,7600
10,7700
10,7500
10,7600
10,7600
10,7600
10,7700
10,7600
10,7600
10,7600
10,7600
10,7600
10,7600
10,7700
10,7600
10,7600
10,7600
10,7600
10,7600
10,7600
10,7600
10,7600
10,7600
10,7600
10,7600
10,7700
10,7600
10,7600
10,7600
10,7600
10,7600
10,7600
10,7700
10,7600
10,7600
10,7600
10,7600
10,7600
10,7600
10,7500
10,7600
10,7600
10,7600
10,7600
10,7600
10,7600
10,7600
10,7600
10,7600
10,7500
10,7600
10,7600
10,7600
10,7600
10,7600
10,7600
10,7600
10,7600
10,7600
10,7600
10,7600
10,7600
10,7600
10,7500
10,7600
10,7700
10,7600
10,7600
10,7700
10,7600
10,7600
10,7600
10,7500
10,7600
10,7600
10,7600
10,7600
10,7600
10,7700
10,7600
10,7600
10,7700
10,7600
10,7600
10,7600
10,7600
10,7600
10,7600
10,7600
10,7600
10,7600
10,7600
10,7600
10,7500
10,7600
10,7600
10,7700
10,7600
10,7600
10,7700
10,7700
10,7600
10,7600
10,7600
10,7600
10,7600
10,7700
10,7700
10,7600
10,7600
10,7600
10,7600
10,7600
10,7600
10,7600
10,7600
10,7700
10,7600
10,7700
10,7700
10,7600
10,7600
10,7600
10,7600
10,7600
10,7600
10,7700
10,7600
10,7600
10,7600
10,7600
10,7600
10,7600
10,7600
10,7700
10,7700
10,7600
10,7700
10,7600
10,7600
10,7600
10,7600
10,7600
10,7600
10,7600
10,7600
10,7600
10,7600
10,7600
10,7600
10,7600
10,7600
10,7600
10,7500
10,7600
10,7600
10,7600
10,7600
10,7700
10,7600
10,7600
10,7700
10,7600
10,7600
10,7700
10,7600
10,7600
10,7600
10,7600
